name,rating,review,date,location,sentiment
Karan Sachdev,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
aniket mahajan,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
tilak gowda,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Shakthi Nair,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Arun Baby,"Rated 3.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Dyuthi Shreenidhi,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Pooja Pradhan,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
aakash sharan,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
PRIYANKA PL,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
rohit patil,"Rated 4.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Mayur Jain,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Rohan Das,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Kamlesh Desai,"Rated 4.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Swarnabha Sarkar,"Rated 4.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Shyam Bharadwaj,"Rated 5.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
Karthik M.M,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
santhosh kirani,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Saurabh Srivastava,"Rated 4.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Vinmeen Keerthika,"Rated 3.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Sunil Narang,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Abdullah Anwar,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Christopher Joseph,"Rated 4.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Arijit Guha Roy,"Rated 4.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Dhananjay Patankar,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Hardik Kothari,"Rated 3.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Kishore Jonnalagadda,"Rated 5.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Ritesh Dwivedy,"Rated 3.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Ahmad Zaib,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Senthil Murugan,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Pradhan Chetan,"Rated 5.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Sunil.K. Anthonyswamy,"Rated 3.0 out of 5,",,2022-06-27,Cafe Coffee Day - The Square,Neutral
SHIVANAND YALEDAHALLI,"Rated 3.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Sugan Krishnan,"Rated 3.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
Jaikishan Pati,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Aishwarya Bathwal,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
anil kumar jagirdar,"Rated 5.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
kavitha Padakannaya,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
vivek Deshpande,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Prasunna Kp,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Dhaval Kunder,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Rajaseelan R,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Preksha Jain,"Rated 4.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Manas Lodhavia,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Rajesh Nayak,"Rated 5.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Naveen Kumar,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Priya Padma,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Shreeram Hegde,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
subramanyam R,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Krunal Naik,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
saurabh singh,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Deepak N B,"Rated 3.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
HINDU HAKASE,"Rated 2.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Chaithra Y S,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Deepam Pattanayak,"Rated 5.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
raghavendra bhat,"Rated 1.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Chandra Karthik,"Rated 3.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Ajay Sudarshan,"Rated 5.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
Akshay jain,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
rev h,"Rated 4.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Sukanta Hazra,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
hk bs,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Kumar Jagannath,"Rated 5.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
Im Mashuk,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Ammu Venky,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Akash H D,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Gitanjali Pahwa,"Rated 3.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Anshul Jain,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
shivangi arora,"Rated 3.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Aashish Gupta,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Craig Pereira,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Tarun Mehta,"Rated 5.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
anu,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Sreenivasa Rao,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Nirja Kotwal,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Sivareena Sarika,"Rated 3.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Ruhi Kini,"Rated 3.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
muskan agrawal,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Sudhanv Devatha,"Rated 3.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Mithun Prabhakar,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Pulkit Mehrotra,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Keshava Siddappa,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Rohan Carvalho,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Mick Kay,"Rated 5.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Sathyan Subbiah,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
saket kumar,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
prerna gupta,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Ramachandran SN,"Rated 3.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Prasanna Kumar,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
vlyvedike (vlyvedike),"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Praneet Shetty,"Rated 4.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Lalith s Bagrecha,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Sathish Chandhrasekharan,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Raakesh Bohara,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Anubhav Sudha,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Vamsi Marella,"Rated 5.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
vikas Patil,"Rated 5.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Shivakumar,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Kanisha Ganiga,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Muneeb Fayaz,"Rated 1.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Adhitya Adhi,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Brajesh Jaiswal,"Rated 4.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
GUNA P,"Rated 2.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Ajmal Sohail,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Syam Sunder,"Rated 5.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
R K,"Rated 4.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Rishika Sen,"Rated 5.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Shejal Jain,"Rated 3.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Shubhrasish Sen,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Bhavana Babu R.S.,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Vikas Kumar,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Supratim Mukherjee,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Abhrajit Mallik,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Kartik Muralidharan,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Deepak Mavinkurve,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Vrushali Mulik,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Amrita Chakraborty,"Rated 3.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Arijit Roy,"Rated 5.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Nasrullah B A,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Vinod P Joseph,"Rated 3.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Manpreet Singh,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Dishank Manju,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Vishwas N Gowda,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Prabhu Thangaraj,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Manickam Palaniappan,"Rated 4.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
savitha Bhansali,"Rated 4.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Varadharajan Athmanathan,"Rated 3.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Shalini Ram,"Rated 4.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Rajesh Devaiah,"Rated 5.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
namaskar sirigiri,"Rated 1.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
Gaurav Kashyap,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Dixit Mehta,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Andrey Shulzhenko,"Rated 3.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Shain Padmajan,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
shiva sai,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Manoj manu,"Rated 1.0 out of 5,",,2017-06-27,Cafe Coffee Day - The Square,Neutral
Noble Sebastian,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Rechu c,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Dhruv Bhardwaj,"Rated 4.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
arpitha bafna,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Karthik Nataraj,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Sionna Imam,"Rated 3.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
SHINORAZE RB,"Rated 3.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Vishwajit Nandi,"Rated 4.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Rythm Sanghvi,"Rated 4.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
ARUN KISHANPURIA,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Srinivas G.R,"Rated 5.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
Aakansha Verma,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Tanmaya Mishra,"Rated 2.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Jayakrishnan AK,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
J B,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Priya Mahanty,"Rated 3.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Kevin Williams,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Soujanya,"Rated 4.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
vishal vaswani,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Sreekumar Narayanan,"Rated 5.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Michelle Fernandes,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
devendra patap singh,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Sailikitha Tirumala,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Abhi Abhi,"Rated 5.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
Vikas arora,"Rated 5.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
Aditya Shekhar,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Aasim ##,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Gaurav Gambhir,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Pooja Meharwade,"Rated 4.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Basavaraj Gowda,"Rated 3.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
mohd wajid,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
shashank kaul,"Rated 4.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
neeshma shibu,"Rated 4.0 out of 5,",,2017-06-27,Cafe Coffee Day - The Square,Neutral
Ayush Menon,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
jeethan castelino,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
alfiya alfi,"Rated 5.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Debasmita Sarkar,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Nikhil Bhat,"Rated 4.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
manjula chivukula,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Nakul Raichura,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Vinay Chandrakant,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Rekha Harish,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Sandeep Jaiswal,"Rated 5.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
Cyriac Joseph,"Rated 5.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Akash Mp,"Rated 4.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
Vikas Pachisia,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Salma Shenz,"Rated 5.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
swati pandey,"Rated 4.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
varsha reddy,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Vinod Bhansali,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Rivu Ghosh,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
aslam habib,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Urooj Touseef,"Rated 3.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
vijaya shree,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Angle Nirmadadu,"Rated 4.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Ritu Taly,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Anjoo Aradhya Bahadur,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Tarun Pulikanti,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Nupur Sharma (lychnuslia),"Rated 4.0 out of 5,",,2017-06-27,Cafe Coffee Day - The Square,Neutral
Varun N,"Rated 5.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Stephen George,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Rajalakshmi M,"Rated 5.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Akshaya Kruthika,"Rated 4.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Sandesh Nanjundappa,"Rated 4.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Jai Nathwani,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Jiji George,"Rated 4.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
J. Sivashankar,"Rated 2.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Pranay Majumdar,"Rated 4.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Gopika Kumaresan,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Bhushan S Naduvinamani,"Rated 5.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
vasanth kumar,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
PARAG WANKHADE,"Rated 5.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Ashish Agrawal,"Rated 4.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Shreyosi Biswas,"Rated 4.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Venktesh Reddy,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Divya Gadekar,"Rated 5.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
Jayaprakash Sathyamurthy,"Rated 5.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Nikhil R Vasisht,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
A.,"Rated 3.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
Samartha M M,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Oliver Jaison D'souza,"Rated 3.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
sandip keshri,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Alka Pinto,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Subayya Kc,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Praful R,"Rated 3.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Saket Brijendra,"Rated 5.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
nitin jain,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Santhosh Reddy,"Rated 3.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Swapnil Ghanshyala,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Junaid Hamza,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Vivek U,"Rated 4.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Kiran Atre,"Rated 4.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Santosh Haralahalli Shivaram,"Rated 3.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Anupama Kalyan,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
ramakant rajiv,"Rated 4.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Bhagaban Behera,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Raja Harinath,"Rated 4.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
suraj marihal,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Angad Gupta,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Darshan Wadikar,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Indu Priya,"Rated 5.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
Priya Bhatia,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Arun R D,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Yaser Arafat,"Rated 5.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Jacob Chacko,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Afeef Rahiman,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Prashant Kumar Thakur,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
krishna kumar c,"Rated 2.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Devadutt Patre,"Rated 4.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Mukund Rao,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Vinutha R J,"Rated 3.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Ankita vora,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Vaishnavi,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Naveen Reddy,"Rated 4.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Giri S,"Rated 5.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Sweekruti Naik,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
lokesh v,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Parvez S,"Rated 4.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Krazy,"Rated 5.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
Sunil Kumar,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Ravindra J,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Rohit Sanjay,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Juan Cruz,"Rated 4.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Sathesh Kumar J K,"Rated 4.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Rahul Shinde,"Rated 5.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
Karabi Dutta,"Rated 5.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
Umashankar Boregowda,"Rated 4.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Rutwik Patel,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Monisha Nandagopal,"Rated 4.0 out of 5,",,2021-06-27,Cafe Coffee Day - The Square,Neutral
mithun,"Rated 5.0 out of 5,",,2019-06-27,Cafe Coffee Day - The Square,Neutral
Kiran Sai,"Rated 5.0 out of 5,",,2018-06-27,Cafe Coffee Day - The Square,Neutral
Aditya B.S.,"Rated 4.0 out of 5,",,2020-06-27,Cafe Coffee Day - The Square,Neutral
